Response ID,FOLIO,80 aniversario,Programa,Nombre completo del último programa del que egresó:,Escuela,Nivel,Año en que egresó del último programa :,Decada,Quinteta,Campus,Usted es:,Promedio
R_6Ql8bbpuqdT7V1D,MICMTY8862,-,MIC,Maestría en Ingeniería Computacional,Ingeniería y Ciencias,Maestría,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_AgkmDabS4bzpSXT,MAMTY9504,R_3Eoky3MYCKiljJI,MA,Maestría en Administración,Negocios,Maestría,1990,90´s,90´s - 1,ITESM Campus Monterrey,Hombre,-
R_2sbizoPnT86JzPF,IQAMTY7779,-,IQA,Ingeniero Químico Administrador,Ingeniería y Ciencias,Profesional,1972,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_24BHp1QqDnloSMS,IMEMTY746,R_1E6AMIzP5BGn3Rb,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1960,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_1MMsBnmXxHtG9Lj,LAEMTY5293,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1968,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_D7Ao14Izupi0loZ,ISCMTY10973,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1975,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_1HnSyznY2yPHf9N,ICMTY9056,-,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,1973,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_28UrooajLXekgNi,LAEMTY11608,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_8rbK0xxOq18AREt,IMEMTY1816,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1961,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_3EhRcH2M93uDhVg,MACCM6257,-,MA,Maestría en Administración,Negocios,Maestría,1975,70´s,70´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_1hRxaIuXAOz89BD,IECMTY12171,-,IEC,Ingeniero en Electrónica y Comunicaciones,Ingeniería y Ciencias,Profesional,1976,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_1o14cMo1JNv5U2o,IAZMTY7494,-,IAZ,Ingeniero Agrónomo Zootecnista,Ingeniería y Ciencias,Profesional,1972,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_2sXs1MBdDmgTWeP,IMAMTY11151,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1975,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_3RdZOoh8xLs5Soa,MSIMTY10820,-,MSI,Maestría en Ciencias con especialidad en Sistemas de Información,Ingeniería y Ciencias,Maestría,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_1E56QoYKe6bz3gc,ISCMTY13168,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_SPkaCqZbmCyZkDD,LAEMTY7645,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1971,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_TmXkdPy8srKKMDv,IQAMTY9475,-,IQA,Ingeniero Químico Administrador,Ingeniería y Ciencias,Profesional,1975,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_doLjToSDFFsMRnr,ICMTY10294,R_8BVEww9VSYUl9Jv,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,1975,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_bOO3uQf0MABhADn,MPAMTY13836,-,MPA,-,Dato por confirmar,Maestría,1980,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_3O6xdQ1hOZBmfs9,MAMTY7576,-,MA,Maestría en Administración,Negocios,Maestría,1976,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_1GTv8aJWu7BYuME,IECMTY12980,-,IEC,Ingeniero en Electrónica y Comunicaciones,Ingeniería y Ciencias,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_1hLPX4FOul4JCse,IAAMTY10769,R_3Jfnog0vm6ZTTs6,IAA,Ingeniero Agrónomo Administrador,Ingeniería y Ciencias,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_21AlZujvT2bbvRx,IMAMTY3631,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1966,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_1E1h5j6YtpvaqO3,MCAGYM10363,-,MCA,Maestría en ciencias administrativas,Negocios,Maestría,1977,70´s,70´s - 2,ITESM Campus Guaymas,Hombre,-
R_3MGOY854Wvmmune,IBGYM13183,R_3EhtjMGg9oNkMOi,IB,Ingeniero Bioquímico,Ingeniería y Ciencias,Profesional,1975,70´s,70´s - 2,ITESM Campus Guaymas,Hombre,-
R_3fDXGdWNIZcl3jB,LAEMTY4143,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1967,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_2fHvnAKW6CbqIta,ISCMTY11227,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1975,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_1NyAo3mYQdO0IxP,LAEMTY6496,R_27QmHDe1frgm6Fm,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1971,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_qRxkS19uhItQVr3,LAEMTY9944,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1976,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2R7XzH6I888zzlc,LCCMTY14651,R_2wykXevQ04KBkr8,LCC,Licenciado en Ciencias de la Comunicación,Humanidades y Educación,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Mujer,-
R_1is4lZL3TrHjCPr,IMAMTY3889,R_24q0PUYnMdPeDvz,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1966,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_2QuQ19MjnjhfY8g,IMAMTY7129,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1970,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_1jr02j4sIwUtssk,ARQMTY8551,R_TvB3w12tP8D5MtP,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,1973,70´s,70´s - 1,ITESM Campus Monterrey,Mujer,-
R_2TS4IIbKOHzJhyh,CPMTY14292,-,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_3GexndYBdJJ7NiR,LECMTY7618,-,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,1972,70´s,70´s - 1,ITESM Campus Monterrey,Mujer,-
R_2QGJr9nXIxVfja7,IMAMTY1029,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1960,60´s,60´s - 1,ITESM Campus Monterrey,Hombre,-
R_2uqa8vUELxDZEYV,LECMTY11599,-,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Mujer,-
R_302ISfV08S8Tkfs,ICMTY1192,-,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,1957,50´s,50´s - 2,ITESM Campus Monterrey,Hombre,-
R_1ln9zq5G7UBAeFg,LSCMTY12538,-,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Mujer,-
R_2yq4TpYfkU8RUsm,ARQMTY12075,-,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,1976,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2ay5vVSzyKQzOpz,MSIMTY11615,R_0onk8pQg7RANMAN,MSI,Maestría en Ciencias con especialidad en Sistemas de Información,Ingeniería y Ciencias,Maestría,1981,80´s,80´s - 1,ITESM Campus Monterrey,Mujer,-
R_VJXNrQgIQ4GUviF,MAMTY5401,-,MA,Maestría en Administración,Negocios,Maestría,1973,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_3QPj8FTRYDFlZvM,MACCM11236,R_3EMB8grUn0a4Tzx,MA,Maestría en Administración,Negocios,Maestría,1978,70´s,70´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_1i9ekExxibjzITy,MACCM2305,-,MA,Maestría en Administración,Negocios,Maestría,1980,80´s,80´s - 1,ITESM Campus Ciudad de México,Hombre,-
R_2BghhzFrpX77wnp,LAEMTY8498,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1974,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_25Ks5UuLbpPHcXM,LAEMTY15979,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_aeE4yn7cHIu3xsd,LAEMTY8767,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1971,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_e38KXbZmky5v40V,LAEMTY17329,R_pzy1SdtkWixAVTr,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Mujer,-
R_10wOL2FubPtP2eG,LAEMTY16665,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1979,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2fcSyg1Az0JfdYV,MAGDL9258,-,MA,Maestría en Administración,Negocios,Maestría,1984,80´s,80´s - 1,ITESM Campus Guadalajara,Hombre,-
R_1ovhgTbWE8FGnFo,LSCMTY12434,-,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_b2ejKghtWkP3Bdf,LECMTY10896,-,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_3kpT6xb1D21zKrC,IISMTY10507,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1976,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2wNxC2pGDem0r9j,IAZMTY15130,R_1NE9HBy07C2jQoj,IAZ,Ingeniero Agrónomo Zootecnista,Ingeniería y Ciencias,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_24uteNAdWeXQZkz,IQAMTY17784,-,IQA,Ingeniero Químico Administrador,Ingeniería y Ciencias,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_1KqbUGPJNRx4dLl,MAMTY17286,-,MA,Maestría en Administración,Negocios,Maestría,1986,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_1mxRzDHtcI81MwK,IMEMTY17855,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1982,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_7QIm2sf9pjFeu1H,CPMTY11493,R_2dtGpXUL41N5uue,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Mujer,-
R_25BH89XqtwTuWm9,MAMTY8872,-,MA,Maestría en Administración,Negocios,Maestría,1985,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_1IT3NEkNmhr1t7t,IECMTY17341,-,IEC,Ingeniero en Electrónica y Comunicaciones,Ingeniería y Ciencias,Profesional,1980,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_sXtQVJBaVMq7xC1,LMCCCM14512,-,LMC,Licenciado en Mercadotecnia y Comunicación ,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Ciudad de México,Mujer,-
R_3CCoI1e026SK3rq,MTICEM21133,R_1hRskTJf9VpaZGX,MTI,Maestría en Administración de Tecnologías de Información,Ingeniería y Ciencias,Maestría,2000,00´s,00´s - 1,ITESM Campus Estado de México,Hombre,0
R_Z1PTv73iW5XymiJ,IAPQRO19668,-,IAP,Ingeniero Agrónomo en Producción,Ingeniería y Ciencias,Profesional,1989,80´s,80´s - 2,ITESM Campus Querétaro,Hombre,-
R_3htBXnoxTW0HzUV,MACCM12622,-,MA,Maestría en Administración,Negocios,Maestría,1981,80´s,80´s - 1,ITESM Campus Ciudad de México,Hombre,-
R_1BWYk67F6w21xOA,IAPMTY18696,-,IAP,Ingeniero Agrónomo en Producción,Ingeniería y Ciencias,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_3PgHooDplOqOpXP,ISCMTY14929,R_1OoVcub89fd4ZoS,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2c0F3ip4C5i15UL,LSCMTY17434,-,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,1980,80´s,80´s - 1,ITESM Campus Monterrey,Mujer,-
R_3etr2c56beP7iXV,ISCMTY19284,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_sR4zUhhmJ8ggcqB,MNLMTY16539,-,MNL,Maestría en Administración de Negocios Globales,Negocios,Maestría,2000,00´s,00´s - 1,ITESM Campus Monterrey,Hombre,0
R_aWQvPibacJN8nV7,IMEMTY9221,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1973,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_3CVpESz3zZIp83n,LCCMTY18217,-,LCC,Licenciado en Ciencias de la Comunicación,Humanidades y Educación,Profesional,1980,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_2qBG0Kmb2hDq8kG,LCCMTY18336,-,LCC,Licenciado en Ciencias de la Comunicación,Humanidades y Educación,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_2bZ6m45hexbpcGI,LSCMTY20129,R_1LMbfb43Pm3OoY6,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,1990,90´s,90´s - 1,ITESM Campus Monterrey,Mujer,-
R_3LdkUwMLSjJuv1T,IBGYM12709,-,IB,Ingeniero Bioquímico,Ingeniería y Ciencias,Profesional,1976,70´s,70´s - 2,ITESM Campus Guaymas,Mujer,-
R_3xGHUw8jrYPS14B,IECMTY16929,-,IEC,Ingeniero en Electrónica y Comunicaciones,Ingeniería y Ciencias,Profesional,1982,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_bHFaHyo3dKaFgbv,ICMTY12002,-,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2SCg5MKoNiZusIK,IECMTY17794,-,IEC,Ingeniero en Electrónica y Comunicaciones,Ingeniería y Ciencias,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_2AFsaBMUhEjqLqr,IBGYM3607,R_1H61YViKvCZ3q1U,IB,Ingeniero Bioquímico,Ingeniería y Ciencias,Profesional,1970,70´s,70´s - 1,ITESM Campus Guaymas,Hombre,-
R_24FWe5KgPOVceIH,IMAMTY22652,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1983,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_AG3WsLEgAOYMNaN,ICMTY24005,-,IC,Ingeniero Civil,Ingeniería y Ciencias,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_1P167yugdQIY2w9,MAMTY16698,-,MA,Maestría en Administración,Negocios,Maestría,1985,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_RCTSJqCoLERTtYd,IQSMTY16985,-,IQS,Ingeniero Químico y de Sistemas,Ingeniería y Ciencias,Profesional,1980,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_1OrHJq6FFzU9pQv,LSCMTY19280,R_26luQYoy0AtmLqw,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Mujer,-
R_21aEzfSHNbz0aYE,MASIN23518,-,MA,Maestría en Administración,Negocios,Maestría,1997,90´s,90´s - 2,ITESM Campus Sinaloa,Hombre,-
R_24AfOLIoR3jSTj6,IMAMTY7715,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,1974,70´s,70´s - 1,ITESM Campus Monterrey,Hombre,-
R_XoYxk0tG1NLkTcJ,LECMTY23541,-,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,1983,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_32MjgfxTxCMm4uU,MAMTY11423,-,MA,Maestría en Administración,Negocios,Maestría,1979,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_29uiKXnoJnFnimg,ISCMTY24766,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Mujer,-
R_54MANRKzoIJ5x4Z,LAEMTY11768,R_1mI5DvOZKSvRMbN,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1977,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_3ktfr5m5NpSl2Wt,ARQMTY5066,R_3LeaA6kPvtz9onJ,ARQ,Arquitecto,Arquitectura y Diseño,Profesional,1969,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_6MDjVOY6LpExbFL,LECMTY10966,R_21pKYO3towuByab,LEC,Licenciado en Economía,Gobierno y Ciencias Sociales,Profesional,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_p9iPBiOcaGxp0fT,LAEMTY25208,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1985,80´s,80´s - 2,ITESM Campus Monterrey,Mujer,-
R_308iq2kAXlobHuV,ISEMTY23905,-,ISE,Ingeniero en Sistemas Electrónicos,Ingeniería y Ciencias,Profesional,1983,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_1QsglSQVQe02JBn,IECMTY21947,-,IEC,Ingeniero en Electrónica y Comunicaciones,Ingeniería y Ciencias,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Mujer,-
R_895pEcAvqhvryN3,MACCM21145,R_3JwJ4ybSmJUNMgL,MA,Maestría en Administración,Negocios,Maestría,1988,80´s,80´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_vif28J6c2E9HMsx,IISCEM19769,R_ZK9ccVpD7xQaVDr,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1985,80´s,80´s - 2,ITESM Campus Estado de México,Hombre,-
R_1pxkx63M6VAFpPW,MACCM21270,R_2VsCHsKbAryTaKK,MA,Maestría en Administración,Negocios,Maestría,1989,80´s,80´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_1d6lpscKNYDHxW9,IISCEM14212,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1981,80´s,80´s - 1,ITESM Campus Estado de México,Hombre,-
R_2w66Ih9bQTGQEYZ,LSCMTY25193,-,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,1985,80´s,80´s - 2,ITESM Campus Monterrey,Mujer,-
R_1mtvZ7sbCVSqp4o,MAMTY25187,-,MA,Maestría en Administración,Negocios,Maestría,1989,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_30legbhrdwQkSsK,IISMTY26095,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1986,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_2CfFD8UftDAiZJE,ISCMTY25011,-,ISC,Ingeniero en Sistemas Computacionales,Ingeniería y Ciencias,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_aV1I0CTuTytte7f,LINSIN20061,-,LIN,Licenciado en Comercio Internacional,Negocios,Profesional,2016,01´s,01´s - 2,ITESM Campus Sinaloa,Hombre,-
R_2talLGQR9FJtnXO,IBGYM13220,-,IB,Ingeniero Bioquímico,Ingeniería y Ciencias,Profesional,1976,70´s,70´s - 2,ITESM Campus Guaymas,Hombre,-
R_tWjBk4VY1f3B3AR,LAEMTY25034,-,LAE,Licenciado en Administración de Empresas,Negocios,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_2aLZ3YZFoyNj8JK,MACCM20254,-,MA,Maestría en Administración,Negocios,Maestría,1977,70´s,70´s - 2,ITESM Campus Ciudad de México,Hombre,-
R_3lGlkiXNfG3RW2G,IISMTY24947,-,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_1opO6HRkmx53PC2,LSCMTY9264,-,LSC,Licenciado en Sistemas de Computación Administrativa,Ingeniería y Ciencias,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_sGVTChpmrkYIAWB,IBGYM13116,-,IB,Ingeniero Bioquímico,Ingeniería y Ciencias,Profesional,1979,70´s,70´s - 2,ITESM Campus Guaymas,Hombre,-
R_ukSZQfLrpRjGeFX,ISEMTY25986,R_WfzH7cDcdpc4wy5,ISE,Ingeniero en Sistemas Electrónicos,Ingeniería y Ciencias,Profesional,1985,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_3fry7gXopTE34te,IMAMTY15549,-,IMA,Ingeniero Mecánico Administrador,Ingeniería y Ciencias,Profesional,Sin dato,Sin dato,Sin dato,ITESM Campus Monterrey,Hombre,-
R_BAlIG1FJeQ6e5sl,IQAMTY23000,-,IQA,Ingeniero Químico Administrador,Ingeniería y Ciencias,Profesional,1982,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_2wTAYE3zwAs2pqW,MACCM7517,R_1rj1sD1yClwdQuv,MA,Maestría en Administración,Negocios,Maestría,1981,80´s,80´s - 1,ITESM Campus Ciudad de México,Hombre,-
R_3KIMEppVE4T8L4O,CPMTY25040,-,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Mujer,-
R_12lpxg4e3hYGm2p,MAEMTY17231,R_2rusKEn476e9X9T,MAE,Maestría en Administración,Negocios,Maestría,1977,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_r1o0CJ3oUkXxgch,MACDJ27024,-,MA,Maestría en Administración,Negocios,Maestría,2002,00´s,00´s - 1,ITESM Campus Ciudad Juárez,Hombre,0
R_2WwBYi9oRsD6Iar,MAMTY5112,-,MA,Maestría en Administración,Negocios,Maestría,1978,70´s,70´s - 2,ITESM Campus Monterrey,Hombre,-
R_2BkzT75fzu6vmYJ,IISMTY22255,R_740YC75gf3i1OWR,IIS,Ingeniero Industrial y de Sistemas,Ingeniería y Ciencias,Profesional,1981,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_2vdc1F7ugmBEfXe,CPMTY27690,-,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1986,80´s,80´s - 2,ITESM Campus Monterrey,Hombre,-
R_qLcBWZDC7hHP9Hr,CPMTY23058,-,CP,Licenciado en Contaduría Pública y Finanzas,Negocios,Profesional,1984,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
R_3D5zQjvnS9Uoj3l,IAAMTY26775,-,IAA,Ingeniero Agrónomo Administrador,Ingeniería y Ciencias,Profesional,1985,80´s,80´s - 2,ITESM Campus Monterrey,Mujer,-
R_1myhFcnV7mU2Ii9,IMEMTY3817,-,IME,Ingeniero Mecánico Electricista,Ingeniería y Ciencias,Profesional,1967,60´s,60´s - 2,ITESM Campus Monterrey,Hombre,-
R_8voIiR75IiOWsGR,LEMMTY16719,-,LEM,Licenciado en Mercadotecnia,Negocios,Profesional,1982,80´s,80´s - 1,ITESM Campus Monterrey,Mujer,-
R_9QABcdyyftp9Ly1,MAMTY27106,-,MA,Maestría en Administración,Negocios,Maestría,1984,80´s,80´s - 1,ITESM Campus Monterrey,Hombre,-
